Sample,PM(2.5),HCHO,TVOC,TEMP,HUM,CO2
945,31,0.057,0.381,26,60,1418
947,32,0.057,0.381,26,60,1417
949,32,0.055,0.368,26,60,1417
951,33,0.058,0.393,26,60,1416
953,34,0.058,0.393,26,60,1415
955,34,0.06,0.406,26,60,1415
957,35,0.06,0.406,26,60,1414
959,36,0.057,0.381,26,60,1414
961,37,0.06,0.406,26,60,1415
963,37,0.06,0.406,26,59,1415
965,38,0.058,0.393,26,59,1415
967,39,0.06,0.406,26,59,1415
969,39,0.062,0.419,26,59,1415
971,40,0.064,0.431,26,59,1415
973,40,0.068,0.457,26,59,1414
975,41,0.07,0.469,26,59,1414
977,42,0.07,0.469,26,59,1413
979,42,0.07,0.469,26,59,1412
981,42,0.068,0.457,26,59,1411
983,40,0.068,0.457,26,59,1411
985,39,0.066,0.444,26,59,1409
987,37,0.064,0.431,26,59,1409
989,35,0.064,0.431,26,59,1409
991,33,0.062,0.419,26,59,1409
993,31,0.062,0.419,26,59,1409
995,30,0.062,0.419,26,58,1410
997,29,0.06,0.406,26,58,1410
999,28,0.06,0.406,26,58,1410
1001,29,0.06,0.406,26,58,1411
1003,30,0.058,0.393,26,58,1411
1005,30,0.058,0.393,26,58,1411
1007,31,0.058,0.393,26,58,1411
1009,32,0.06,0.406,26,58,1411
1011,32,0.06,0.406,26,58,1410
1013,33,0.06,0.406,26,58,1409
1015,32,0.06,0.406,26,58,1409
1017,31,0.06,0.406,26,58,1408
1019,32,0.06,0.406,26,58,1407
1021,31,0.06,0.406,26,59,1407
1023,32,0.06,0.406,26,59,1406
1025,32,0.06,0.406,26,59,1406
1027,33,0.06,0.406,26,59,1405
1029,34,0.06,0.406,26,59,1404
1031,34,0.062,0.419,26,59,1404
1033,35,0.062,0.419,26,59,1403
1035,36,0.062,0.419,26,59,1403
1037,35,0.058,0.393,26,60,1401
1039,35,0.062,0.419,26,60,1399
1041,35,0.062,0.419,26,60,1397
1043,35,0.062,0.419,26,60,1397
1045,34,0.062,0.419,26,60,1398
1047,34,0.06,0.406,26,60,1398
1049,33,0.064,0.431,26,60,1398
1051,34,0.064,0.431,26,60,1399
1053,33,0.064,0.431,26,60,1399
1055,34,0.064,0.431,26,60,1399
1057,32,0.066,0.444,26,60,1399
1059,32,0.064,0.431,26,60,1398
1061,32,0.064,0.431,26,60,1397
1063,32,0.064,0.431,26,60,1397
1065,32,0.066,0.444,26,61,1396
1067,32,0.066,0.444,26,61,1396
1069,32,0.066,0.444,26,61,1396
1071,32,0.066,0.444,26,61,1397
1073,32,0.066,0.444,26,61,1397
1075,33,0.068,0.457,26,61,1397
1077,33,0.07,0.469,26,61,1399
1079,34,0.07,0.469,26,61,1400
1081,35,0.07,0.469,26,61,1400
1083,35,0.072,0.482,26,61,1402
1085,36,0.072,0.482,26,61,1402
1087,36,0.072,0.482,26,61,1404
1089,37,0.072,0.482,26,61,1405
1091,38,0.072,0.482,26,61,1405
1093,37,0.072,0.482,26,61,1406
1095,35,0.072,0.482,26,62,1407
1097,34,0.068,0.457,26,62,1407
1099,34,0.07,0.469,26,62,1409
